2.100000000000000000e+01 8.812510020584923041e+02 6.022904350631807374e-03 2.156685635081821966e-04 1.316412880926675522e+00
2.200000000000000000e+01 8.942260810109020213e+02 7.092245389379635799e-03 2.355042409520317242e-04 1.381813151955167074e+00
2.300000000000000000e+01 9.072713151379185774e+02 8.304279063568705335e-03 2.561078137715558844e-04 1.450973549998169077e+00
2.400000000000000000e+01 9.207057277193615619e+02 9.656517377174640357e-03 2.774670877257522724e-04 1.521197279205754427e+00
2.500000000000000000e+01 9.346621488405581886e+02 1.115411227403122728e-02 2.995690915021309228e-04 1.584846402228085926e+00
2.600000000000000000e+01 9.486499935247990152e+02 1.280661085587477335e-02 3.224036424850561743e-04 1.645196065742116742e+00
2.700000000000000000e+01 9.630802559461930059e+02 1.460886909271720026e-02 3.459726476124016939e-04 1.701158154176282578e+00
2.800000000000000000e+01 9.777853190940062404e+02 1.654079586257563989e-02 3.702787133977494924e-04 1.746093949717048455e+00
2.900000000000000000e+01 9.926871564032175002e+02 1.863592626928535848e-02 3.953153499478370713e-04 1.784763535919498212e+00
3.000000000000000000e+01 1.007981485183260816e+03 2.093289327286730270e-02 4.210731651358017870e-04 1.810579761962775924e+00
3.100000000000000000e+01 1.023064316820736394e+03 2.342795894717241562e-02 4.475404758402376699e-04 1.834154061056282981e+00
3.200000000000000000e+01 1.038741594128638553e+03 2.613594509721148956e-02 4.747048480260243489e-04 1.850387943098341870e+00
3.300000000000000000e+01 1.054481206727362633e+03 2.902084919883305206e-02 5.025533761401222883e-04 1.858530647496437371e+00
3.400000000000000000e+01 1.070258666310118770e+03 3.211384475692143081e-02 5.310696749413471767e-04 1.860781466548952157e+00
3.500000000000000000e+01 1.086654677507890028e+03 3.542838756983430343e-02 5.602241672887246565e-04 1.849818336507548233e+00
3.600000000000000000e+01 1.102768333894126272e+03 3.899353745267904181e-02 5.899937235692857872e-04 1.837255899854883578e+00
3.700000000000000000e+01 1.119122852700325211e+03 4.280921797520624572e-02 6.203944547856584833e-04 1.816046869040150558e+00
3.800000000000000000e+01 1.135823556940409162e+03 4.684055593960759906e-02 6.514427209294905994e-04 1.786465503227604001e+00
3.900000000000000000e+01 1.152777123472232915e+03 5.109000685672386577e-02 6.831168876974088493e-04 1.747127588899243245e+00
4.000000000000000000e+01 1.169909280609344250e+03 5.557197649527079175e-02 7.153857358567818894e-04 1.695212922419726098e+00
4.100000000000000000e+01 1.187138722609225169e+03 6.030002191288860725e-02 7.482220585012600358e-04 1.628815949740411773e+00
4.200000000000000000e+01 1.204467429799675529e+03 6.528378700276500635e-02 7.816150295345981186e-04 1.549622754603927399e+00
4.300000000000000000e+01 1.221905205000342221e+03 7.053176981075820473e-02 8.155578486741781995e-04 1.459818083447230741e+00
4.400000000000000000e+01 1.239498993500967799e+03 7.605031360555104814e-02 8.500436291863372332e-04 1.359982195220885703e+00
4.500000000000000000e+01 1.257310597910499155e+03 8.184293833312786259e-02 8.850654059327650331e-04 1.250390822727031059e+00
